State,Percent_enrollment
Alabama,21.7
Alaska,21.7
Arizona,21.8
Arkansas,21.7
California,20.4
Colorado,21.0
Connecticut,21.8
Delaware,19.4
District of Columbia,13.3
Florida,20.8
Georgia,21.7
Hawaii,19.0
Idaho,22.5
Illinois,21.5
Indiana,21.5
Iowa,20.2
Kansas,20.4
Kentucky,21.7
Louisiana,21.7
Maine,21.9
Maryland,20.5
Massachusetts,20.1
Michigan,21.9
Minnesota,21.2
Mississippi,21.4
Missouri,21.2
Montana,21.0
Nebraska,20.0
Nevada,22.4
New Hampshire,21.8
New Jersey,21.5
New Mexico,20.8
New York,20.5
North Carolina,22.0
North Dakota,18.7
Ohio,21.8
Oklahoma,21.1
Oregon,21.5
Pennsylvania,21.1
South Carolina,21.1
South Dakota,21.0
Tennessee,22.2
Texas,21.6
Utah,20.7
Vermont,19.8
Virginia,20.2
Washington,20.8
West Virginia,21.1
Wisconsin,21.2
Wyoming,20.5
